año,indicador,valor,pais,fuente,estado
2000,cpi_score,27.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2001,cpi_score,25.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2002,cpi_score,25.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2003,cpi_score,23.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2004,cpi_score,23.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2005,cpi_score,23.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2006,cpi_score,23.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2007,cpi_score,20.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2008,cpi_score,19.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2009,cpi_score,19.0,Venezuela,Transparency International CPI (escala 0-10 convertida a 0-100),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2010,cpi_score,20.0,Venezuela,Transparency International CPI (histórico oficial),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
2011,cpi_score,19.0,Venezuela,Transparency International CPI (histórico oficial),historico_no_comparable_no_verificado_en_auditoria_20260917; excluido
