año,año_previo,delta_publicado,delta_canasta_comun,efecto_composicion_neto,cobertura_comun_pct,n_variables_comunes,cambio_signo
2001,2000,1.6099999999999994,1.6099999999999994,0.0,71.5,15,False
2002,2001,-5.1100000000000065,-5.1100000000000065,0.0,71.5,15,False
2003,2002,-3.219999999999999,-3.219999999999999,0.0,71.5,16,False
2004,2003,12.479999999999997,12.479999999999997,0.0,71.5,16,False
2005,2004,1.2700000000000102,1.2700000000000102,0.0,71.5,16,False
2006,2005,4.719999999999999,1.8399999999999892,2.8800000000000097,71.5,16,False
2007,2006,-0.75,-0.75,0.0,75.6,17,False
2008,2007,-1.3000000000000114,-1.3000000000000114,0.0,75.6,17,False
2009,2008,-2.3599999999999994,-2.3599999999999994,0.0,75.6,17,False
2010,2009,-1.1599999999999966,-1.1599999999999966,0.0,75.6,17,False
2011,2010,0.7199999999999989,0.7199999999999989,0.0,75.6,17,False
2012,2011,9.230000000000004,11.290000000000006,-2.0600000000000023,75.6,17,False
2013,2012,-1.3700000000000045,-2.1500000000000057,0.7800000000000011,91.6,19,False
2014,2013,-5.099999999999994,-5.099999999999994,0.0,95.1,20,False
2015,2014,-4.049999999999997,-4.049999999999997,0.0,95.1,20,False
2016,2015,-13.130000000000003,-13.130000000000003,0.0,95.1,20,False
2017,2016,-6.980000000000004,-8.219999999999999,1.2399999999999949,91.6,19,False
2018,2017,-8.61,-8.259999999999998,-0.3500000000000014,91.6,19,False
2019,2018,-11.130000000000003,-11.130000000000003,0.0,95.1,20,False
2020,2019,-9.399999999999995,-9.399999999999995,0.0,95.1,20,False
2021,2020,8.989999999999998,8.989999999999998,0.0,95.1,20,False
2022,2021,6.170000000000002,6.170000000000002,0.0,95.1,20,False
2023,2022,-3.990000000000002,-3.990000000000002,0.0,95.1,20,False
2024,2023,0.3200000000000003,-0.3100000000000023,0.6300000000000026,92.6,19,True
2025,2024,-6.469999999999999,-4.549999999999997,-1.9200000000000017,78.2,14,False
2026,2025,14.949999999999996,3.3599999999999994,11.589999999999996,41.1,7,False
