model,horizon,n,mae,rmse,bias,inside_80,inside_95
ets,1,44,3.1412,3.9482,0.3104,,
ets,3,44,4.4016,5.443,0.0623,,
ets,6,44,4.994,6.3281,-0.2354,,
naive,1,44,3.3764,4.1978,0.4027,,
naive,3,44,4.2111,5.5805,0.942,,
naive,6,44,4.8091,6.3406,1.6286,,
sarima,1,11,1.9207,2.9871,-0.368,1.0,1.0
sarima,3,11,5.2002,6.3631,0.3417,0.7273,0.8182
sarima,6,11,3.5746,4.8338,0.3222,0.8182,0.9091
seasonal_naive,1,44,6.6652,7.5037,3.9593,,
seasonal_naive,3,44,7.4457,9.2697,4.007,,
seasonal_naive,6,44,7.262,9.1078,3.6389,,
