año,mes,variable,valor,fuente
2014,1,luminosidad_nocturna_mensual_nwcm2sr,0.9008,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,2,luminosidad_nocturna_mensual_nwcm2sr,0.98,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,3,luminosidad_nocturna_mensual_nwcm2sr,0.994,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,4,luminosidad_nocturna_mensual_nwcm2sr,1.0047,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,5,luminosidad_nocturna_mensual_nwcm2sr,0.9502,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,6,luminosidad_nocturna_mensual_nwcm2sr,1.007,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free promediada sobre Venezuela (mascara venezuela_states.geojson, 6 tiles). nW/cm2/sr."
2014,7,luminosidad_nocturna_frac_iluminada,4.8197,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
2014,7,luminosidad_nocturna_logmedia,0.1154,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
2014,7,luminosidad_nocturna_mediana,0.0,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
2014,7,luminosidad_nocturna_mensual_nwcm2sr,1.0658,"NASA Black Marble VNP46A3 (LAADS DAAC, coleccion 002), radiancia NearNadir Composite Snow Free sobre Venezuela (mascara venezuela_states.geojson, 5 tiles). nW/cm2/sr salvo frac_iluminada (%)."
