año,indicador,valor,pais,fuente
2006,bti_governance_index,2.98,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2008,bti_governance_index,2.14,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2010,bti_governance_index,2.19,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2012,bti_governance_index,2.15,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2014,bti_governance_index,2.52,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2016,bti_governance_index,1.87,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2018,bti_governance_index,1.86,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2020,bti_governance_index,1.29,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2022,bti_governance_index,1.44,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2024,bti_governance_index,1.63,Venezuela,Bertelsmann Stiftung — BTI Governance Index. https://bti-project.org/en/index/ranking
2026,bti_governance_index,1.57,Venezuela,Bertelsmann Stiftung — BTI 2026 Governance Index (rank 132/137). https://www.bti-project.org/en/reports/country-report/VEN/
