año,mes,variable,valor,fuente
2010,1,exportaciones_espejo_socios_musd,983.96,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,2,exportaciones_espejo_socios_musd,1625.52,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,3,exportaciones_espejo_socios_musd,1123.62,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,4,exportaciones_espejo_socios_musd,1617.2,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,5,exportaciones_espejo_socios_musd,1472.68,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,6,exportaciones_espejo_socios_musd,982.57,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,7,exportaciones_espejo_socios_musd,1527.46,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,8,exportaciones_espejo_socios_musd,2165.74,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,9,exportaciones_espejo_socios_musd,1085.09,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,10,exportaciones_espejo_socios_musd,784.11,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,11,exportaciones_espejo_socios_musd,1396.39,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2010,12,exportaciones_espejo_socios_musd,1317.7,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2011,1,exportaciones_espejo_socios_musd,2377.88,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2011,2,exportaciones_espejo_socios_musd,1691.75,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2011,3,exportaciones_espejo_socios_musd,2585.11,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2011,4,exportaciones_espejo_socios_musd,2383.34,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
2011,5,exportaciones_espejo_socios_musd,2055.28,"UN Comtrade API v1 (comtradeapi.un.org), comercio mensual HS TOTAL reportado por Espana, Brasil, India, Turkiye, China con Venezuela (M49 862). Mirror statistics, origen no venezolano."
