año,indicador,valor,pais,fuente
2000,fao_calorias_per_capita,2442.1,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2001,fao_calorias_per_capita,2498.0,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2002,fao_calorias_per_capita,2209.1,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2003,fao_calorias_per_capita,2406.1,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2004,fao_calorias_per_capita,2484.4,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2005,fao_calorias_per_capita,2484.4,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2006,fao_calorias_per_capita,2510.9,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2007,fao_calorias_per_capita,2607.6,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2008,fao_calorias_per_capita,2814.6,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2009,fao_calorias_per_capita,2872.5,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2010,fao_calorias_per_capita,2915.8,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2011,fao_calorias_per_capita,2914.1,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2012,fao_calorias_per_capita,2865.9,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2013,fao_calorias_per_capita,2831.3,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2014,fao_calorias_per_capita,2876.3,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2015,fao_calorias_per_capita,2616.0,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2016,fao_calorias_per_capita,2231.5,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2017,fao_calorias_per_capita,2289.5,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2018,fao_calorias_per_capita,2189.8,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2019,fao_calorias_per_capita,2234.7,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2020,fao_calorias_per_capita,2298.6,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2021,fao_calorias_per_capita,2596.2,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2022,fao_calorias_per_capita,2721.4,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
2023,fao_calorias_per_capita,2800.4,Venezuela,"FAO FAOSTAT — Food Balance Sheets (FBS/FBSH). Element: Food supply (kcal/capita/day), Item: Grand Total. https://www.fao.org/faostat/en/#data/FBS"
