año,indicador,valor,pais,fuente
2006,fragile_states_index,81.2,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2007,fragile_states_index,76.5,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2008,fragile_states_index,80.0,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2009,fragile_states_index,80.6,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2010,fragile_states_index,82.5,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2011,fragile_states_index,80.9,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2012,fragile_states_index,82.2,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2013,fragile_states_index,75.3,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2014,fragile_states_index,76.7,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2015,fragile_states_index,78.7,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2016,fragile_states_index,81.6,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2017,fragile_states_index,82.9,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2018,fragile_states_index,86.2,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2019,fragile_states_index,89.3,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2020,fragile_states_index,91.2,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2021,fragile_states_index,92.6,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2022,fragile_states_index,91.6,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2023,fragile_states_index,90.5,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
2024,fragile_states_index,89.0,Venezuela,Fund for Peace — Fragile States Index. https://fragilestatesindex.org/data/
