año,indicador,valor,pais,fuente
2000,freedom_house_score,38,Venezuela,Freedom House FitW 2001 — calculado desde PR/CL publicados usando formula oficial FH: (7-PR)/6*40 + (7-CL)/6*60
2001,freedom_house_score,37,Venezuela,Freedom House FitW 2002 — calculado desde PR/CL publicados usando formula oficial FH: (7-PR)/6*40 + (7-CL)/6*60
2002,freedom_house_score,35,Venezuela,Freedom House FitW 2003 — calculado desde PR/CL publicados usando formula oficial FH: (7-PR)/6*40 + (7-CL)/6*60
2003,freedom_house_score,33,Venezuela,Freedom House — Freedom in the World 2004 (https://freedomhouse.org/country/venezuela/freedom-world/2004)
2004,freedom_house_score,32,Venezuela,Freedom House — Freedom in the World 2005 (https://freedomhouse.org/country/venezuela/freedom-world/2005)
2005,freedom_house_score,30,Venezuela,Freedom House — Freedom in the World 2006 (https://freedomhouse.org/country/venezuela/freedom-world/2006)
2006,freedom_house_score,27,Venezuela,Freedom House — Freedom in the World 2007 (https://freedomhouse.org/country/venezuela/freedom-world/2007)
2007,freedom_house_score,24,Venezuela,Freedom House — Freedom in the World 2008 (https://freedomhouse.org/country/venezuela/freedom-world/2008)
2008,freedom_house_score,22,Venezuela,Freedom House — Freedom in the World 2009 (https://freedomhouse.org/country/venezuela/freedom-world/2009)
2009,freedom_house_score,21,Venezuela,Freedom House — Freedom in the World 2010 (https://freedomhouse.org/country/venezuela/freedom-world/2010)
2010,freedom_house_score,20,Venezuela,Freedom House — Freedom in the World 2011 (https://freedomhouse.org/country/venezuela/freedom-world/2011)
2011,freedom_house_score,19,Venezuela,Freedom House — Freedom in the World 2012 (https://freedomhouse.org/country/venezuela/freedom-world/2012)
2012,freedom_house_score,19,Venezuela,Freedom House — Freedom in the World 2013 (https://freedomhouse.org/country/venezuela/freedom-world/2013)
2013,freedom_house_score,18,Venezuela,Freedom House — Freedom in the World 2014 (https://freedomhouse.org/country/venezuela/freedom-world/2014)
2014,freedom_house_score,17,Venezuela,Freedom House — Freedom in the World 2015 (https://freedomhouse.org/country/venezuela/freedom-world/2015)
2015,freedom_house_score,15,Venezuela,Freedom House — Freedom in the World 2016 (https://freedomhouse.org/country/venezuela/freedom-world/2016)
2016,freedom_house_score,14,Venezuela,Freedom House — Freedom in the World 2017 (https://freedomhouse.org/country/venezuela/freedom-world/2017)
2017,freedom_house_score,13,Venezuela,Freedom House — Freedom in the World 2018 (https://freedomhouse.org/country/venezuela/freedom-world/2018)
2018,freedom_house_score,12,Venezuela,Freedom House — Freedom in the World 2019 (https://freedomhouse.org/country/venezuela/freedom-world/2019)
2019,freedom_house_score,12,Venezuela,Freedom House — Freedom in the World 2020 (https://freedomhouse.org/country/venezuela/freedom-world/2020)
2020,freedom_house_score,12,Venezuela,Freedom House — Freedom in the World 2021 (https://freedomhouse.org/country/venezuela/freedom-world/2021)
2021,freedom_house_score,11,Venezuela,Freedom House — Freedom in the World 2022 (https://freedomhouse.org/country/venezuela/freedom-world/2022)
2022,freedom_house_score,11,Venezuela,Freedom House — Freedom in the World 2023 (https://freedomhouse.org/country/venezuela/freedom-world/2023)
2023,freedom_house_score,11,Venezuela,Freedom House — Freedom in the World 2024 (https://freedomhouse.org/country/venezuela/freedom-world/2024)
2024,freedom_house_score,13,Venezuela,Freedom House — Freedom in the World 2025 (https://freedomhouse.org/country/venezuela/freedom-world/2025)
2025,freedom_house_score,13,Venezuela,Freedom House — Freedom in the World 2026 (https://freedomhouse.org/country/venezuela/freedom-world/2026)
