año,guardian_articulos_venezuela,guardian_tono_titulares
2000,137,-0.0707
2001,101,-0.0365
2002,163,-0.0884
2003,177,-0.0371
2004,183,-0.043
2005,178,-0.1065
2006,360,0.0371
2007,478,-0.057
2008,447,-0.0497
2009,307,-0.0215
2010,307,-0.0724
2011,316,-0.1793
2012,257,0.0014
2013,359,-0.0963
2014,312,-0.2376
2015,316,-0.0833
2016,399,-0.1463
2017,324,-0.3748
2018,270,-0.1676
2019,587,-0.189
2020,308,-0.2352
2021,236,-0.1037
2022,248,-0.1266
2023,255,-0.1275
2024,308,-0.1664
2025,690,-0.2293
2026,898,-0.1079
