año,indicador,valor,pais,fuente
2000,ief_overall_score,42.0,Venezuela,Heritage Foundation IEF (serie histórica validada)
2005,ief_overall_score,45.3,Venezuela,Heritage Foundation IEF (serie histórica validada)
2008,ief_overall_score,47.6,Venezuela,Heritage Foundation IEF (serie histórica validada)
2009,ief_overall_score,47.9,Venezuela,Heritage Foundation IEF (serie histórica validada)
2010,ief_overall_score,46.1,Venezuela,Heritage Foundation IEF (serie histórica validada)
2011,ief_overall_score,38.1,Venezuela,Heritage Foundation IEF (serie histórica validada)
2012,ief_overall_score,38.1,Venezuela,Heritage Foundation IEF (serie histórica validada)
2013,ief_overall_score,36.1,Venezuela,Heritage Foundation IEF (serie histórica validada)
2014,ief_overall_score,34.3,Venezuela,Heritage Foundation IEF (serie histórica validada)
2015,ief_overall_score,34.3,Venezuela,Heritage Foundation IEF (serie histórica validada)
2016,ief_overall_score,27.0,Venezuela,Heritage Foundation IEF (serie histórica validada)
2017,ief_overall_score,27.0,Venezuela,Heritage Foundation IEF (serie histórica validada)
2018,ief_overall_score,25.9,Venezuela,Heritage Foundation IEF (serie histórica validada)
2019,ief_overall_score,25.9,Venezuela,Heritage Foundation IEF (serie histórica validada)
2020,ief_overall_score,25.2,Venezuela,Heritage Foundation IEF (serie histórica validada)
2021,ief_overall_score,24.9,Venezuela,Heritage Foundation IEF (serie histórica validada)
2022,ief_overall_score,24.6,Venezuela,Heritage Foundation IEF (serie histórica validada)
2023,ief_overall_score,25.3,Venezuela,Heritage Foundation IEF (serie histórica validada)
2024,ief_overall_score,26.2,Venezuela,Heritage Foundation IEF (serie histórica validada)
2025,ief_overall_score,27.3,Venezuela,Heritage Foundation IEF 2026
