año,indicador,valor,pais,fuente
2000,ilo_empleo_informal_pct,35.67,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2001,ilo_empleo_informal_pct,33.14,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2002,ilo_empleo_informal_pct,33.19,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2003,ilo_empleo_informal_pct,34.13,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2004,ilo_empleo_informal_pct,31.88,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2005,ilo_empleo_informal_pct,31.6,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2006,ilo_empleo_informal_pct,30.85,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2007,ilo_empleo_informal_pct,29.84,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2008,ilo_empleo_informal_pct,30.81,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2009,ilo_empleo_informal_pct,31.44,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2010,ilo_empleo_informal_pct,33.24,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2011,ilo_empleo_informal_pct,33.01,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2012,ilo_empleo_informal_pct,31.91,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2013,ilo_empleo_informal_pct,31.63,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2014,ilo_empleo_informal_pct,31.55,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2015,ilo_empleo_informal_pct,31.56,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2016,ilo_empleo_informal_pct,31.65,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2017,ilo_empleo_informal_pct,32.71,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2018,ilo_empleo_informal_pct,34.25,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2019,ilo_empleo_informal_pct,35.9,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2020,ilo_empleo_informal_pct,36.45,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2021,ilo_empleo_informal_pct,35.42,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2022,ilo_empleo_informal_pct,36.43,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2023,ilo_empleo_informal_pct,37.0,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2024,ilo_empleo_informal_pct,37.16,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
2025,ilo_empleo_informal_pct,37.3,Venezuela,"ILO ILOSTAT — EMP_2EMP_SEX_ECO_NB_A (Informal employment, % of total employment). https://ilostat.ilo.org/"
