año,inflacion_deflactor_pib_pct,desempleo_pct,cuenta_corriente_pct_pib,pib_crecimiento_imf_pct
2000,16.2,14.0,10.1,3.7
2001,12.5,13.4,1.6,3.4
2002,22.4,16.0,8.0,-8.9
2003,31.1,18.2,14.1,-7.8
2004,21.7,15.1,13.8,18.3
2005,16.0,12.2,17.7,10.3
2006,13.7,10.0,14.8,9.9
2007,18.7,8.5,5.8,8.8
2008,31.4,7.4,10.2,5.3
2009,26.0,7.9,0.2,-3.2
2010,28.2,8.5,1.8,-1.5
2011,26.1,8.2,5.2,4.2
2012,21.1,7.8,0.7,5.6
2013,40.6,7.5,1.8,1.3
2014,62.2,8.0,2.3,-3.9
2015,121.7,12.5,-12.8,-6.2
2016,254.9,20.9,-3.4,-17.0
2017,438.1,27.9,7.5,-15.7
2018,65374.1,35.6,8.4,-19.7
2019,19906.0,,5.9,-27.7
2020,2355.1,,-3.2,-30.0
2021,1588.5,,-0.9,1.0
2022,186.5,,4.0,8.0
2023,337.5,,5.8,4.0
2024,49.4,,4.1,5.3
2025,252.0,,2.6,1.5
2026,387.4,,7.1,4.0
