año,indicador,valor,pais,fuente
2000,desempleo_pct,13.99,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2001,desempleo_pct,13.04,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2002,desempleo_pct,16.17,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2003,desempleo_pct,16.78,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2004,desempleo_pct,15.07,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2005,desempleo_pct,10.663,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2006,desempleo_pct,8.606,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2007,desempleo_pct,7.279,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2008,desempleo_pct,6.245,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2009,desempleo_pct,6.097,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2010,desempleo_pct,7.112,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2011,desempleo_pct,6.902,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2012,desempleo_pct,6.601,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2013,desempleo_pct,7.54,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2014,desempleo_pct,6.821,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2015,desempleo_pct,6.139,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2016,desempleo_pct,5.319,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2017,desempleo_pct,5.045,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2018,desempleo_pct,5.468,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2019,desempleo_pct,5.89,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2020,desempleo_pct,7.53,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2021,desempleo_pct,7.027,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2022,desempleo_pct,5.646,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2023,desempleo_pct,5.407,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2024,desempleo_pct,5.321,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2025,desempleo_pct,5.307,Venezuela,OWID via IMF WEO 2026 — Unemployment rate. https://ourworldindata.org/grapher/unemployment-rate
2000,esperanza_vida_anos,72.3876,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
2001,esperanza_vida_anos,71.0189,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
2002,esperanza_vida_anos,72.8225,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
