año,indicador,valor,pais,fuente
2000,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2001,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2002,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2003,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2004,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2005,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2006,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2007,ucdp_conflicto_idx,0.0072,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2008,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2009,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2010,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2011,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2012,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2013,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2014,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2015,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2016,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2017,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2018,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2019,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2020,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2021,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2022,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
2023,ucdp_conflicto_idx,0.0,Venezuela,Uppsala Conflict Data Program (UCDP) GED v24.1 + One-sided Violence. https://ucdp.uu.se/downloads/
