año,indicador,valor,pais,fuente
2000,migrantes_vzla_millones,0.0006,Venezuela,UNHCR Population Statistics API
2001,migrantes_vzla_millones,0.0008,Venezuela,UNHCR Population Statistics API
2002,migrantes_vzla_millones,0.0013,Venezuela,UNHCR Population Statistics API
2003,migrantes_vzla_millones,0.0026,Venezuela,UNHCR Population Statistics API
2004,migrantes_vzla_millones,0.0039,Venezuela,UNHCR Population Statistics API
2005,migrantes_vzla_millones,0.0054,Venezuela,UNHCR Population Statistics API
2006,migrantes_vzla_millones,0.0062,Venezuela,UNHCR Population Statistics API
2007,migrantes_vzla_millones,0.0068,Venezuela,UNHCR Population Statistics API
2008,migrantes_vzla_millones,0.0073,Venezuela,UNHCR Population Statistics API
2009,migrantes_vzla_millones,0.0078,Venezuela,UNHCR Population Statistics API
2010,migrantes_vzla_millones,0.0073,Venezuela,UNHCR Population Statistics API
2011,migrantes_vzla_millones,0.0081,Venezuela,UNHCR Population Statistics API
2012,migrantes_vzla_millones,0.0087,Venezuela,UNHCR Population Statistics API
2013,migrantes_vzla_millones,0.0095,Venezuela,UNHCR Population Statistics API
2014,migrantes_vzla_millones,0.0128,Venezuela,UNHCR Population Statistics API
2015,migrantes_vzla_millones,0.0225,Venezuela,UNHCR Population Statistics API
2016,migrantes_vzla_millones,0.0526,Venezuela,UNHCR Population Statistics API
2017,migrantes_vzla_millones,0.1574,Venezuela,UNHCR Population Statistics API
2018,migrantes_vzla_millones,0.4853,Venezuela,UNHCR Population Statistics API
2019,migrantes_vzla_millones,0.8877,Venezuela,UNHCR Population Statistics API
2020,migrantes_vzla_millones,1.0224,Venezuela,UNHCR Population Statistics API
2021,migrantes_vzla_millones,1.1703,Venezuela,UNHCR Population Statistics API
2022,migrantes_vzla_millones,1.3676,Venezuela,UNHCR Population Statistics API
2023,migrantes_vzla_millones,1.5478,Venezuela,UNHCR Population Statistics API
2024,migrantes_vzla_millones,1.7302,Venezuela,UNHCR Population Statistics API
2025,migrantes_vzla_millones,1.759,Venezuela,UNHCR Population Statistics API
