año,indicador,valor,pais,fuente
2000,vdem_corrupcion_pol,0.894,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2001,vdem_corrupcion_pol,0.894,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2002,vdem_corrupcion_pol,0.902,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2003,vdem_corrupcion_pol,0.902,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2004,vdem_corrupcion_pol,0.913,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2005,vdem_corrupcion_pol,0.933,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2006,vdem_corrupcion_pol,0.933,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2007,vdem_corrupcion_pol,0.947,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2008,vdem_corrupcion_pol,0.943,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2009,vdem_corrupcion_pol,0.947,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2010,vdem_corrupcion_pol,0.954,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2011,vdem_corrupcion_pol,0.958,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2012,vdem_corrupcion_pol,0.958,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2013,vdem_corrupcion_pol,0.968,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2014,vdem_corrupcion_pol,0.966,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2015,vdem_corrupcion_pol,0.94,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2016,vdem_corrupcion_pol,0.905,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2017,vdem_corrupcion_pol,0.908,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2018,vdem_corrupcion_pol,0.918,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2019,vdem_corrupcion_pol,0.955,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2020,vdem_corrupcion_pol,0.961,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2021,vdem_corrupcion_pol,0.968,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2022,vdem_corrupcion_pol,0.971,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2023,vdem_corrupcion_pol,0.969,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2024,vdem_corrupcion_pol,0.97,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2025,vdem_corrupcion_pol,0.968,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/political-corruption-index — validacion convergente, NO entra al indice ICIV"
2000,vdem_libdem_index,0.31,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/liberal-democracy-index — validacion convergente, NO entra al indice ICIV"
2001,vdem_libdem_index,0.288,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/liberal-democracy-index — validacion convergente, NO entra al indice ICIV"
2002,vdem_libdem_index,0.255,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/liberal-democracy-index — validacion convergente, NO entra al indice ICIV"
2003,vdem_libdem_index,0.243,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/liberal-democracy-index — validacion convergente, NO entra al indice ICIV"
2004,vdem_libdem_index,0.216,Venezuela,"V-Dem Institute (Varieties of Democracy) via Our World in Data, https://ourworldindata.org/grapher/liberal-democracy-index — validacion convergente, NO entra al indice ICIV"
