año,pib_nominal_usd,pib_crecimiento_real_pct,pib_per_capita_usd,ied_neta_usd,reservas_internacionales_usd,exportaciones_pct_pib,acceso_electricidad_pct,inflacion_ipc_pct,tipo_cambio_oficial_lcu_usd,tasa_alfabetizacion_adulta_pct,remesas_recibidas_usd
2000,117146466002.661,3.6869441668769,4776.2816763938,4703000000.0,15898851162.5221,29.7442196597828,98.9,,0.679966666666667,,17000000.0
2001,122911036746.729,3.39423610779077,4920.39313600453,3704000000.0,12264400222.6423,22.7356315651648,99.9,,0.723658333333334,92.9800033569336,19000000.0
2002,92893587733.6549,-8.85564735286771,3652.09896501865,761000000.0,12106510810.7652,30.4335705492145,99.8,,1.16095,,19000000.0
2003,83620628582.1082,-7.75530004959877,3229.50557082079,1573000000.0,20820560020.6513,33.8533894084396,95.7,,1.60695833333333,,208000000.0
2004,112451400424.964,18.2866066891244,4269.08970872392,1489000000.0,23408050057.2128,36.1983535672104,99.1,,1.89133333333333,,143000000.0
2005,145513489651.872,10.3179138043147,5432.4854184654,2450000000.0,29802940547.6946,39.6586527436252,98.8,,2.08975,94.3707013803128,148000000.0
2006,183477522123.894,9.87214910851037,6739.38065342218,198000000.0,36715128120.2438,36.5186216079437,99.3,,2.147,94.6620701964151,165000000.0
2007,230364012575.687,8.75357880785845,8331.62096991844,4358000000.0,33759218864.9235,31.1305388597077,98.9,,2.147,95.1500015258789,151000000.0
2008,315953388510.678,5.27785412398785,11262.4514256759,2083000000.0,43065463087.2778,30.8216690057259,98.9,,2.147,95.3116995541662,137000000.0
2009,329787628928.472,-3.20230265749002,11596.6021921731,-1137000000.0,34317956993.5458,18.0715188695789,99.0,27.080941446613,2.147,95.5100021362305,132000000.0
2010,393192354510.653,-1.48879125078356,13646.3046622664,1583000000.0,29665473906.3905,28.5304069880193,99.1,28.1874647092039,2.58206031746032,95.3924213233743,143000000.0
2011,316482190800.364,4.17642535923936,10843.9229703167,5855000000.0,27934651458.8556,29.9430146096987,98.8,26.0902123160959,4.2893,94.7699966430664,138000000.0
2012,372592062768.06,5.62595697508632,12607.2361246243,4986000000.0,29468789162.686,29.5076845272947,99.3,21.0689956331876,4.2893,95.9871889937429,118000000.0
2013,258930655486.37,1.34309403607486,8656.35669723668,2145000000.0,20275216409.4457,30.1994429603504,99.4,40.6394275161589,6.04796184166667,,120000000.0
2014,214689614732.719,-3.89438647450667,7096.22047105512,1135000000.0,21454894042.4243,43.5445803174978,100.0,62.1686499794829,6.2842,,128000000.0
2015,125449241571.391,-6.22137102671199,4103.1384987005,2956000000.0,15625329211.5224,40.7360976438028,100.0,121.738085297503,6.2842,96.6100006103516,161000000.0
2016,112915034262.314,-17.0403345996548,3670.15737848208,1587000000.0,10150000483.5116,31.1184040845836,99.4,254.948534781816,9.25734444444167,97.129997253418,279000000.0
2017,115883275162.586,-15.6714088720003,3791.33160682077,-299000000.0,9794062064.62109,33.306440304425,99.2,,9.975,97.1837183128414,
2018,102021093964.682,-19.6553415972227,3422.65467014854,622000000.0,,42.5555320878765,99.9,,,,
2019,73014084091.3,-27.6579678662627,2523.11275230667,564000000.0,,47.1960981908994,99.8,,,,
2020,42838020721.1995,-29.9985699155957,1506.0436210041,1504000000.0,,13.0058139910429,99.9,,315575.801683206,,
2021,56614976854.5499,0.955433428579269,2004.93397949792,1213000000.0,,15.3499941243626,100.0,,2104580.83528659,,
2022,89013255584.7499,8.00091310654791,3155.04207099687,2349000000.0,,16.349207455802,100.0,,6.68388238636364,,
2023,102376526555.948,4.00168591128376,3617.43594578269,13000000.0,,18.0669268537087,100.0,,28.6353609715036,,
2024,119802963257.783,5.29999999999984,4217.59102643391,1632583330.0,,16.8598487040821,,,38.3783597589844,,
2025,,,,,,,,,,,
2026,,,,,,,,,,,
