año,GOV_WGI_CC.SC,GOV_WGI_GE.SC,GOV_WGI_PV.SC,GOV_WGI_RL.SC,GOV_WGI_RQ.SC,GOV_WGI_VA.SC
2000,34.5158121,31.6701145,53.1791677,41.8330394,44.5887286,51.5815923
2002,26.3206766,25.1735077,42.9331472,35.1895891,43.422432,45.0822845
2003,26.1409035,28.5852935,45.3409354,33.7719504,36.8871118,46.4251385
2004,27.6280915,29.2964216,44.1463679,35.4984352,37.4323676,44.9251262
2005,25.9925755,32.0817619,45.7712841,34.9417137,37.4822763,45.4407635
2006,25.8718935,31.9282164,44.3223528,32.0412128,35.751681399999995,44.2762704
2007,21.9065384,33.838272499999995,45.0550612,28.6489987,32.5162455,42.9127425
2008,21.3903347,33.2611837,43.9158995,27.0039515,31.7478051,41.7732955
2009,22.2604191,35.0905296,44.2366868,27.4454645,32.0797903,41.1769997
2010,22.332981,30.9776838,42.642444,26.679664,30.46668,41.2837929
2011,25.0732819,30.0219247,44.3712505,26.1664098,33.610641699999995,39.4106817
2012,22.2641658,33.337285699999995,45.0855723,25.4336228,31.6750562,38.8786113
2013,21.4904878,32.8062364,43.2777616,22.7182919,30.9833738,35.7590412
2014,18.9347593,31.7491156,45.8380356,20.9842894,27.9606359,34.9470447
2015,19.0168387,31.5085445,45.5199779,17.341382499999998,28.0652872,33.5812485
2016,19.1958791,30.4424425,45.140172,17.7496117,27.0326865,33.2297163
2017,18.4527496,28.1577973,42.3206813,18.8448234,25.9940928,31.0033559
2018,15.57127,20.3087248,40.8698504,17.2687585,21.0136831,27.8839468
2019,15.5726444,20.2793254,40.0660535,16.8469121,20.5965354,27.324212
2020,15.9071419,20.9661193,41.5410343,16.4840502,20.6598576,27.2987791
2021,15.7847312,21.7886363,43.8675295,17.2305696,21.9676223,25.4443221
2022,15.4068784,22.1442675,46.6466461,18.4490255,24.5068919,25.7258549
2023,16.292816,23.4884579,47.0432279,19.0875856,25.0876114,26.0826344
2024,15.7286763,22.83069,36.1651626,19.0276028,24.8486239,25.0393635
