ano,estado,estado_cod,ntl_idx,fuente
2000,Amazonas,AM,12.4322,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Anzoategui,AN,11.8866,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Apure,AP,9.9456,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Aragua,AR,18.3494,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Barinas,BA,9.7613,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Bolivar,BO,12.6281,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Carabobo,CA,15.7823,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Cojedes,CO,12.7668,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Delta Amacuro,DE,10.2452,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Dependencias Fed.,DF,14.4858,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Distrito Capital,DC,45.1111,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Falcon,FA,9.0217,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Guarico,GU,9.8983,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Lara,LA,10.1409,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Merida,ME,8.3761,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Miranda,MI,18.1289,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Monagas,MO,11.2952,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Nueva Esparta,NE,19.6031,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Portuguesa,PO,9.378,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Sucre,SU,8.1532,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Tachira,TA,9.8007,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Trujillo,TR,8.9894,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Vargas,VA,23.804,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Yaracuy,YA,9.4884,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2000,Zulia,ZU,12.1331,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2001,Amazonas,AM,10.8498,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Anzoategui,AN,13.318,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Apure,AP,10.7907,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Aragua,AR,20.3517,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Barinas,BA,10.2916,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Bolivar,BO,13.63,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Carabobo,CA,17.712,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Cojedes,CO,15.5694,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Delta Amacuro,DE,11.5932,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Dependencias Fed.,DF,16.6091,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Distrito Capital,DC,46.658,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Falcon,FA,9.7302,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Guarico,GU,11.1874,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Lara,LA,11.2363,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Merida,ME,8.7244,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
