año,pib_nominal_usd,pib_crecimiento_real_pct,pib_per_capita_usd,ied_neta_usd,reservas_internacionales_usd,exportaciones_pct_pib,acceso_electricidad_pct,inflacion_ipc_pct,tipo_cambio_oficial_lcu_usd,tasa_alfabetizacion_adulta_pct,remesas_recibidas_usd,esperanza_vida_anos,mortalidad_infantil_x1000
2000,117146466002.661,3.53535353535352,4776.2816763938,4703000000.0,15898851162.5221,0.0,98.9,,0.679966666666667,,17000000.0,72.388,17.5
2001,122911036746.729,3.41463414634147,4920.39313600453,3704000000.0,12264400222.6423,0.0,99.9,,0.723658333333334,92.9800033569336,19000000.0,71.019,17.0
2002,92893587733.6549,-8.72641509433961,3652.09896501865,761000000.0,12106510810.7652,0.0,99.8,,1.16095,,19000000.0,72.823,16.6
2003,83620628582.1082,-7.75193798449614,3229.50557082079,1573000000.0,20820560020.6513,0.0,95.7,,1.60695833333333,,208000000.0,72.056,16.2
2004,112451400424.964,18.2072829131653,4269.08970872392,1489000000.0,23408050057.2128,0.0,99.1,,1.89133333333333,,143000000.0,72.752,15.7
2005,145513489651.872,10.1895734597156,5432.4854184654,2450000000.0,29802940547.6946,0.0,98.8,,2.08975,94.3707013803128,148000000.0,73.075,15.3
2006,183477522123.894,9.89247311827957,6739.38065342218,198000000.0,36715128120.2438,0.0,99.3,,2.147,94.6620701964151,165000000.0,72.972,14.8
2007,230364012575.687,8.80626223091976,8331.62096991844,4358000000.0,33759218864.9235,0.0,98.9,,2.147,95.1500015258789,151000000.0,73.348,14.5
2008,315953388510.678,5.21582733812949,11262.4514256759,2083000000.0,43065463087.2778,0.0,98.9,,2.147,95.3116995541662,137000000.0,72.578,14.4
2009,329787628928.472,-3.07692307692308,11596.6021921731,-1137000000.0,34317956993.5458,0.0,99.0,27.080941446613,2.147,95.5100021362305,132000000.0,72.785,14.4
2010,393192354510.653,-1.5873015873016,13646.3046622664,1583000000.0,29665473906.3905,0.0,99.1,28.1874647092039,2.58206031746032,95.3924213233743,143000000.0,73.092,14.5
2011,316482190800.364,4.12186379928315,10843.9229703167,5855000000.0,27934651458.8556,0.0,98.8,26.0902123160959,4.2893,94.7699966430664,138000000.0,73.09,14.8
2012,371846610182.327,5.67986230636832,12582.0125686037,4986000000.0,29468789162.686,29.5953757225434,99.3,21.0689956331876,4.2893,95.9871889937429,118000000.0,73.086,15.1
2013,258512396297.714,1.30293159609121,8642.37380007027,2145000000.0,20275216409.4457,30.2459016393443,99.4,40.6394275161589,6.04796184166667,,120000000.0,73.076,15.4
2014,214838755021.964,-3.85852090032154,7101.15006382986,1135000000.0,21454894042.4243,43.4511434511435,100.0,62.1686499794829,6.2842,,128000000.0,72.837,15.8
2015,125249941853.534,-6.18729096989966,4096.61989137473,2956000000.0,15625329211.5224,40.7547169811321,100.0,121.738085297503,6.2842,96.6100006103516,161000000.0,73.004,16.5
2016,112948035494.959,-17.1122994652406,3671.23004093383,1587000000.0,10150000483.5116,31.1977715877437,99.4,254.948534781816,9.25734444444167,97.129997253418,279000000.0,72.002,21.2
2017,115892475742.789,-15.6989247311828,3791.63262049576,-299000000.0,9794062064.62109,33.3333333333333,99.2,,9.975,97.1837183128414,,71.903,21.2
2018,101987075928.918,-19.6428571428571,3421.51341607593,622000000.0,,42.5471249801996,99.9,,,,,72.641,21.2
2019,73014157107.594,-27.6190476190476,2523.11527549578,564000000.0,,47.195725949267,99.8,,,,,72.766,21.2
2020,42837965906.8675,-29.8245614035088,1506.04169391285,1504000000.0,,13.0054444362771,99.9,,,,,72.369,21.2
2021,56615026262.6535,0.625000000000014,2004.93572921136,1213000000.0,,15.3500529409223,100.0,,,,,71.536,21.2
2022,89013251020.9831,8.07453416149069,3155.04190923584,2349000000.0,,16.3490943080464,100.0,,,,,72.566,21.2
2023,102377501185.925,4.02298850574712,3617.47038396528,13000000.0,,18.0663666874328,100.0,,,,,72.514,21.2
2024,120566112397.063,5.52486187845305,4244.45723136019,1632583330.0,,16.7350337150912,100.0,,,,,72.673,21.2
2025,99661244155.6306,1.57068062827224,3494.8138870244,,,14.9031673538596,,,,,,,
2026,,,,,,,,,,,,,
