año,mes,fecha,pulse_score,cobertura_pct,disponibilidad_pct,n_vars,n_vars_total,produccion_disponible,mes_cerrado,elegible_modelo,estado,delta_1m,delta_comparable_1m,efecto_composicion_1m,cobertura_comun_1m_pct,composicion_estable_1m,delta_3m,delta_comparable_3m,efecto_composicion_3m,cobertura_comun_3m_pct,composicion_estable_3m
2010,1,2010-01-01,,0.0,82.5,0,15,False,True,False,provisional,,,,0.0,False,,,,0.0,False
2010,2,2010-02-01,42.61,57.5,82.5,11,15,False,True,False,provisional,,,,0.0,False,,,,0.0,False
2010,3,2010-03-01,68.16,57.5,82.5,11,15,False,True,False,provisional,25.55,25.5544,-0.0044,57.5,True,,,,0.0,False
2010,4,2010-04-01,58.25,57.5,82.5,11,15,False,True,False,provisional,-9.91,-9.9085,-0.0015,57.5,True,,,,0.0,False
2010,5,2010-05-01,46.9,57.5,82.5,11,15,False,True,False,provisional,-11.35,-11.3574,0.0074,57.5,True,4.29,4.2885,0.0015,57.5,True
2010,6,2010-06-01,24.49,57.5,82.5,11,15,False,True,False,provisional,-22.41,-22.4109,0.0009,57.5,True,-43.67,-43.6768,0.0068,57.5,True
2010,7,2010-07-01,47.81,57.5,82.5,11,15,False,True,False,provisional,23.32,23.32,0.0,57.5,True,-10.44,-10.4483,0.0083,57.5,True
2010,8,2010-08-01,39.82,57.5,82.5,11,15,False,True,False,provisional,-7.99,-7.9818,-0.0082,57.5,True,-7.08,-7.0727,-0.0073,57.5,True
2010,9,2010-09-01,43.69,57.5,82.5,11,15,False,True,False,provisional,3.87,3.8653,0.0047,57.5,True,19.2,19.2034,-0.0034,57.5,True
2010,10,2010-10-01,71.07,57.5,82.5,11,15,False,True,False,provisional,27.38,27.3783,0.0017,57.5,True,23.26,23.2617,-0.0017,57.5,True
2010,11,2010-11-01,73.18,57.5,82.5,11,15,False,True,False,provisional,2.11,2.1132,-0.0032,57.5,True,33.36,33.3568,0.0032,57.5,True
2010,12,2010-12-01,66.99,57.5,82.5,11,15,False,True,False,provisional,-6.19,-6.1866,-0.0034,57.5,True,23.3,23.3048,-0.0048,57.5,True
2011,1,2011-01-01,85.19,82.5,82.5,12,15,True,True,True,utilizable,18.2,11.7561,6.4439,57.5,False,14.12,7.6827,6.4373,57.5,False
2011,2,2011-02-01,84.18,82.5,82.5,12,15,True,True,True,utilizable,-1.01,-1.0105,0.0005,82.5,True,11.0,4.1197,6.8803,57.5,False
2011,3,2011-03-01,79.78,82.5,82.5,12,15,True,True,True,utilizable,-4.4,-4.4035,0.0035,82.5,True,12.79,3.9883,8.8017,57.5,False
2011,4,2011-04-01,86.64,82.5,82.5,12,15,True,True,True,utilizable,6.86,6.8606,-0.0006,82.5,True,1.45,1.4466,0.0034,82.5,True
2011,5,2011-05-01,79.7,82.5,82.5,12,15,True,True,True,utilizable,-6.94,-6.9375,-0.0025,82.5,True,-4.48,-4.4804,0.0004,82.5,True
2011,6,2011-06-01,77.75,82.5,82.5,12,15,True,True,True,utilizable,-1.95,-1.95,-0.0,82.5,True,-2.03,-2.0269,-0.0031,82.5,True
2011,7,2011-07-01,73.85,82.5,82.5,12,15,True,True,True,utilizable,-3.9,-3.8985,-0.0015,82.5,True,-12.79,-12.786,-0.004,82.5,True
2011,8,2011-08-01,78.94,82.5,82.5,12,15,True,True,True,utilizable,5.09,5.0856,0.0044,82.5,True,-0.76,-0.7628,0.0028,82.5,True
2011,9,2011-09-01,72.6,82.5,82.5,12,15,True,True,True,utilizable,-6.34,-6.3368,-0.0032,82.5,True,-5.15,-5.1497,-0.0003,82.5,True
2011,10,2011-10-01,72.96,82.5,82.5,12,15,True,True,True,utilizable,0.36,0.3568,0.0032,82.5,True,-0.89,-0.8944,0.0044,82.5,True
2011,11,2011-11-01,73.14,82.5,82.5,12,15,True,True,True,utilizable,0.18,0.1854,-0.0054,82.5,True,-5.8,-5.7946,-0.0054,82.5,True
2011,12,2011-12-01,76.79,82.5,82.5,12,15,True,True,True,utilizable,3.65,3.6466,0.0034,82.5,True,4.19,4.1888,0.0012,82.5,True
2012,1,2012-01-01,83.03,82.5,82.5,12,15,True,True,True,utilizable,6.24,6.2431,-0.0031,82.5,True,10.07,10.0751,-0.0051,82.5,True
2012,2,2012-02-01,83.49,82.5,82.5,12,15,True,True,True,utilizable,0.46,0.4594,0.0006,82.5,True,10.35,10.349,0.001,82.5,True
2012,3,2012-03-01,84.61,82.5,82.5,12,15,True,True,True,utilizable,1.12,1.1221,-0.0021,82.5,True,7.82,7.8245,-0.0045,82.5,True
2012,4,2012-04-01,80.17,82.5,82.5,12,15,True,True,True,utilizable,-4.44,-4.446,0.006,82.5,True,-2.86,-2.8645,0.0045,82.5,True
2012,5,2012-05-01,70.82,82.5,82.5,12,15,True,True,True,utilizable,-9.35,-9.3452,-0.0048,82.5,True,-12.67,-12.669,-0.001,82.5,True
2012,6,2012-06-01,68.78,82.5,82.5,12,15,True,True,True,utilizable,-2.04,-2.0441,0.0041,82.5,True,-15.83,-15.8353,0.0053,82.5,True
2012,7,2012-07-01,74.36,82.5,82.5,12,15,True,True,True,utilizable,5.58,5.5865,-0.0065,82.5,True,-5.81,-5.8028,-0.0072,82.5,True
2012,8,2012-08-01,71.54,82.5,82.5,12,15,True,True,True,utilizable,-2.82,-2.8269,0.0069,82.5,True,0.72,0.7155,0.0045,82.5,True
2012,9,2012-09-01,75.05,82.5,82.5,12,15,True,True,True,utilizable,3.51,3.5144,-0.0044,82.5,True,6.27,6.274,-0.004,82.5,True
2012,10,2012-10-01,73.68,82.5,82.5,12,15,True,True,True,utilizable,-1.37,-1.3717,0.0017,82.5,True,-0.68,-0.6841,0.0041,82.5,True
2012,11,2012-11-01,78.92,82.5,82.5,12,15,True,True,True,utilizable,5.24,5.2372,0.0028,82.5,True,7.38,7.38,0.0,82.5,True
2012,12,2012-12-01,69.89,82.5,82.5,12,15,True,True,True,utilizable,-9.03,-9.0302,0.0002,82.5,True,-5.16,-5.1646,0.0046,82.5,True
2013,1,2013-01-01,73.51,82.5,82.5,12,15,True,True,True,utilizable,3.62,3.6204,-0.0004,82.5,True,-0.17,-0.1726,0.0026,82.5,True
2013,2,2013-02-01,78.82,82.5,82.5,12,15,True,True,True,utilizable,5.31,5.3092,0.0008,82.5,True,-0.1,-0.1006,0.0006,82.5,True
2013,3,2013-03-01,64.23,82.5,82.5,12,15,True,True,True,utilizable,-14.59,-14.586,-0.004,82.5,True,-5.66,-5.6565,-0.0035,82.5,True
2013,4,2013-04-01,71.03,82.5,82.5,12,15,True,True,True,utilizable,6.8,6.8044,-0.0044,82.5,True,-2.48,-2.4725,-0.0075,82.5,True
2013,5,2013-05-01,70.73,82.5,82.5,12,15,True,True,True,utilizable,-0.3,-0.3011,0.0011,82.5,True,-8.09,-8.0828,-0.0072,82.5,True
2013,6,2013-06-01,71.17,82.5,82.5,12,15,True,True,True,utilizable,0.44,0.4347,0.0053,82.5,True,6.94,6.938,0.002,82.5,True
2013,7,2013-07-01,70.68,82.5,82.5,12,15,True,True,True,utilizable,-0.49,-0.4895,-0.0005,82.5,True,-0.35,-0.3559,0.0059,82.5,True
2013,8,2013-08-01,78.15,82.5,82.5,12,15,True,True,True,utilizable,7.47,7.4686,0.0014,82.5,True,7.42,7.4138,0.0062,82.5,True
2013,9,2013-09-01,75.74,82.5,82.5,12,15,True,True,True,utilizable,-2.41,-2.4035,-0.0065,82.5,True,4.57,4.5756,-0.0056,82.5,True
2013,10,2013-10-01,71.16,82.5,82.5,12,15,True,True,True,utilizable,-4.58,-4.5873,0.0073,82.5,True,0.48,0.4778,0.0022,82.5,True
2013,11,2013-11-01,70.18,82.5,82.5,12,15,True,True,True,utilizable,-0.98,-0.9813,0.0013,82.5,True,-7.97,-7.9721,0.0021,82.5,True
2013,12,2013-12-01,76.75,82.5,82.5,12,15,True,True,True,utilizable,6.57,6.5701,-0.0001,82.5,True,1.01,1.0016,0.0084,82.5,True
2014,1,2014-01-01,69.04,82.5,82.5,12,15,True,True,True,utilizable,-7.71,-7.7063,-0.0037,82.5,True,-2.12,-2.1175,-0.0025,82.5,True
2014,2,2014-02-01,65.31,82.5,82.5,12,15,True,True,True,utilizable,-3.73,-3.7297,-0.0003,82.5,True,-4.87,-4.8658,-0.0042,82.5,True
2014,3,2014-03-01,70.12,82.5,82.5,12,15,True,True,True,utilizable,4.81,4.8152,-0.0052,82.5,True,-6.63,-6.6207,-0.0093,82.5,True
2014,4,2014-04-01,68.34,82.5,82.5,12,15,True,True,True,utilizable,-1.78,-1.7891,0.0091,82.5,True,-0.7,-0.7035,0.0035,82.5,True
