año,D1_macro,cobertura_D1_macro,D2_energia,cobertura_D2_energia,D3_institucional,cobertura_D3_institucional,D4_comercial,cobertura_D4_comercial,D5_capital_humano,cobertura_D5_capital_humano,D6_percepcion,cobertura_D6_percepcion,iciv_score,iciv_categoria,cobertura_observada_pct,cobertura_efectiva_pct,cobertura_pct,peso_dimensiones_publicadas_pct,dimensiones_publicadas
2000,61.62,100.0,100.0,75.0,,40.0,41.38,76.3,40.25,100.0,81.59,100.0,66.39,Favorable,79.3,71.5,71.5,80.5,5
2001,66.11,100.0,96.34,75.0,,16.0,41.37,76.3,43.1,100.0,88.39,100.0,68.01,Favorable,74.6,71.5,71.5,80.5,5
2002,59.62,100.0,80.63,75.0,,40.0,41.36,76.3,60.47,100.0,77.79,100.0,62.91,Intermedio,79.3,71.5,71.5,80.5,5
2003,60.88,100.0,75.06,75.0,,40.0,41.33,76.3,32.9,100.0,85.34,100.0,59.69,Intermedio,79.3,71.5,71.5,80.5,5
2004,81.73,100.0,86.07,75.0,,40.0,41.3,76.3,63.26,100.0,84.17,100.0,72.22,Favorable,79.3,71.5,71.5,80.5,5
2005,77.71,100.0,97.72,75.0,,40.0,41.26,76.3,69.87,100.0,74.35,100.0,73.41,Favorable,79.3,71.5,71.5,80.5,5
2006,77.22,100.0,95.41,75.0,,40.0,54.5,100.0,77.21,100.0,89.94,100.0,78.14,Favorable,83.4,75.6,75.6,80.5,5
2007,76.47,100.0,96.88,75.0,,40.0,55.15,100.0,87.86,100.0,70.51,100.0,77.42,Favorable,83.4,75.6,75.6,80.5,5
2008,83.77,100.0,83.79,75.0,,40.0,54.96,100.0,82.01,100.0,72.86,100.0,76.11,Favorable,83.4,75.6,75.6,80.5,5
2009,73.72,100.0,84.21,75.0,,40.0,52.63,100.0,82.87,100.0,82.75,100.0,73.75,Favorable,83.4,75.6,75.6,80.5,5
2010,78.36,100.0,79.56,75.0,,40.0,50.06,100.0,82.51,100.0,74.72,100.0,72.58,Favorable,83.4,75.6,75.6,80.5,5
2011,85.96,100.0,83.37,75.0,,40.0,46.35,100.0,83.18,100.0,57.5,100.0,73.24,Favorable,83.4,75.6,75.6,80.5,5
2012,87.94,100.0,83.37,75.0,74.04,82.0,77.49,100.0,87.83,100.0,88.31,100.0,82.54,Muy favorable,91.6,91.6,91.6,100.0,6
2013,82.99,100.0,83.37,75.0,81.64,100.0,78.11,100.0,88.42,100.0,68.93,100.0,81.17,Muy favorable,95.1,95.1,95.1,100.0,6
2014,76.61,100.0,83.37,75.0,64.94,100.0,88.26,100.0,87.13,100.0,48.45,100.0,76.08,Favorable,95.1,95.1,95.1,100.0,6
2015,61.43,100.0,82.92,75.0,59.45,100.0,81.77,100.0,85.81,100.0,72.65,100.0,72.01,Favorable,95.1,95.1,95.1,100.0,6
2016,49.08,100.0,72.99,75.0,46.92,100.0,69.67,100.0,60.35,100.0,59.48,100.0,58.88,Intermedio,95.1,95.1,95.1,100.0,6
2017,48.09,100.0,62.13,75.0,45.66,82.0,66.28,100.0,51.83,100.0,26.34,100.0,51.89,Intermedio,91.6,91.6,91.6,100.0,6
2018,23.95,100.0,40.5,75.0,35.02,100.0,69.07,100.0,53.84,100.0,61.13,100.0,43.28,Desfavorable,95.1,95.1,95.1,100.0,6
2019,21.76,100.0,14.82,75.0,21.61,100.0,65.4,100.0,44.22,100.0,45.44,100.0,32.16,Desfavorable,95.1,95.1,95.1,100.0,6
2020,29.44,100.0,0.0,75.0,14.85,100.0,29.37,100.0,31.16,100.0,48.99,100.0,22.76,Muy desfavorable,95.1,95.1,95.1,100.0,6
2021,58.51,100.0,2.86,75.0,14.5,100.0,25.94,100.0,26.53,100.0,72.54,100.0,31.75,Desfavorable,95.1,95.1,95.1,100.0,6
2022,76.65,100.0,8.31,75.0,18.09,100.0,22.12,100.0,35.69,100.0,68.46,100.0,37.92,Desfavorable,95.1,95.1,95.1,100.0,6
2023,60.99,100.0,10.29,75.0,16.99,100.0,21.63,100.0,35.01,100.0,68.04,100.0,33.93,Desfavorable,95.1,95.1,95.1,100.0,6
2024,70.51,100.0,14.22,75.0,5.08,100.0,18.54,100.0,43.22,72.0,59.85,100.0,34.25,Desfavorable,92.6,92.6,92.6,100.0,6
2025,59.42,100.0,18.83,75.0,0.0,60.0,19.03,100.0,,18.0,35.08,100.0,27.78,Muy desfavorable,79.9,78.2,78.2,90.9,5
2026,61.83,68.6,21.08,75.0,,0.0,,23.7,,0.0,36.26,100.0,42.8,Desfavorable,45.2,41.1,41.1,54.0,3
