año,pib_nominal_usd,pib_crecimiento_real_pct,pib_per_capita_usd,ied_neta_usd,reservas_internacionales_usd,exportaciones_pct_pib,acceso_electricidad_pct,inflacion_ipc_pct,tipo_cambio_oficial_lcu_usd,tasa_alfabetizacion_adulta_pct,remesas_recibidas_usd,esperanza_vida_anos,mortalidad_infantil_x1000,GOV_WGI_CC.SC,GOV_WGI_GE.SC,GOV_WGI_PV.SC,GOV_WGI_RL.SC,GOV_WGI_RQ.SC,GOV_WGI_VA.SC,wgi_promedio_sc,petroleo_crudo_produccion_tbpd,gas_natural_produccion_bcf,electricidad_generacion_bkwh,inflacion_ipc_imf_pct,desempleo_pct,cuenta_corriente_pct_pib,cpi_score,hdi,guardian_articulos_venezuela,guardian_tono_titulares,wti_precio_usd,tasa_fed_funds_pct,brent_precio_usd,usd_index_broad,vix_volatility,ust_10y_yield_pct,freedom_house_score,migrantes_vzla_millones,luminosidad_nocturna_idx,lsci_conectividad_maritima,pts_terror_politico,wjp_rule_of_law,empleo_vulnerable_oit_pct
2000,117146466002.661,3.53535353535352,4776.2816763938,4703000000.0,15898851162.5221,0.0,98.9,,-0.1675123767607597,,17000000.0,72.388,17.5,34.5158121,31.6701145,53.1791677,41.8330394,44.5887286,51.5815923,42.894742433333334,2893.620218579235,960.568,85.271,1.209515014542631,14.0,10.1,,0.703,137,-0.0707,30.45368181818182,6.235833333333333,28.761980198019803,,23.315,6.030278884462151,,0.0006,,,2.5,,35.67
2001,122911036746.729,3.41463414634147,4920.39313600453,3704000000.0,12264400222.6423,0.0,99.9,,-0.14046643238203688,92.9800033569336,19000000.0,71.019,17.0,,,,,,,,2806.9134410958904,1119.83865,90.119,1.0969100130080565,13.4,1.6,,0.708,101,-0.0365,26.139605263157893,3.8875,24.508865979381444,,25.74967741935484,5.0206854838709685,,0.0008,,,3.0,,33.14
2002,92893587733.6549,-8.72641509433961,3652.09896501865,761000000.0,12106510810.7652,0.0,99.8,,0.06481351586975792,,19000000.0,72.823,16.6,26.3206766,25.1735077,42.9331472,35.1895891,43.422432,45.0822845,36.35360618333334,2435.3080191780823,1003.29915,91.852,1.3502480183341627,16.0,8.0,,0.716,163,-0.0884,26.38475982532751,1.6666666666666667,25.14360824742268,,27.29246031746032,4.61308,,0.0013,,,4.0,,33.19
2003,83620628582.1082,-7.75193798449614,3229.50557082079,1573000000.0,20820560020.6513,0.0,95.7,,0.20600461612985874,,208000000.0,72.056,16.2,26.1409035,28.5852935,45.3409354,33.7719504,36.8871118,46.4251385,36.19188885,2303.495602739726,861.686,91.944,1.4927603890268375,18.2,14.1,,0.707,177,-0.0371,31.33748201438849,1.1275,29.004675925925927,,21.982857142857146,4.01388,,0.0026,,,3.0,,34.13
2004,112451400424.964,18.2072829131653,4269.08970872392,1489000000.0,23408050057.2128,0.0,99.1,,0.2767680767401703,,143000000.0,72.752,15.7,27.6280915,29.2964216,44.1463679,35.4984352,37.4323676,44.9251262,36.48780166666666,2563.9085601092897,960.568,98.552,1.3364597338485296,15.1,13.8,,0.718,183,-0.043,42.46113513513514,1.3491666666666668,38.77886956521739,,15.478656126482212,4.271319999999999,,0.0039,,,3.0,,31.88
2005,145513489651.872,10.1895734597156,5432.4854184654,2450000000.0,29802940547.6946,0.0,98.8,,0.32009433390309644,94.3707013803128,148000000.0,73.075,15.3,25.9925755,32.0817619,45.7712841,34.9417137,37.4822763,45.4407635,36.95172916666667,2839.5498273972603,827.92486,105.384,1.2041199826559248,12.2,17.7,,0.728,178,-0.1065,56.45372549019608,3.2133333333333334,54.901116071428575,,12.807063492063492,4.28888,,0.0054,,,3.0,,31.6
2006,183477522123.894,9.89247311827957,6739.38065342218,198000000.0,36715128120.2438,0.0,99.3,,0.33183204443624864,94.6620701964151,165000000.0,72.972,14.8,25.8718935,31.9282164,44.3223528,32.0412128,35.751681399999995,44.2762704,35.69860455,2785.042293150685,918.19,110.422,1.1367205671564067,10.0,14.8,,0.736,360,0.0371,66.04911504424778,4.964166666666666,65.24655021834062,98.60046576923077,12.806533864541834,4.795,,0.0062,,115.87,3.5,,30.85
2007,230364012575.687,8.80626223091976,8331.62096991844,4358000000.0,33759218864.9235,0.0,98.9,,0.33183204443624864,95.1500015258789,151000000.0,73.348,14.5,21.9065384,33.838272499999995,45.0550612,28.6489987,32.5162455,42.9127425,34.1463098,2819.733887671233,732.044635,114.214,1.271841606536499,8.5,5.8,,0.753,478,-0.057,72.55036290322582,5.019166666666666,72.60777327935222,93.80996538461538,17.535936254980083,4.634661354581673,,0.0068,,118.41,3.5,,29.84
2008,315953388510.678,5.21582733812949,11262.4514256759,2083000000.0,43065463087.2778,0.0,98.9,,0.33183204443624864,95.3116995541662,137000000.0,72.578,14.4,21.3903347,33.2611837,43.9158995,27.0039515,31.7478051,41.7732955,33.18207833333333,2510.0,732.78625,119.297,1.4969296480732148,7.4,10.2,,0.759,447,-0.0497,99.6715019762846,1.9275,96.94434782608695,90.88013206106872,32.69486166007905,3.6642629482071714,,0.0073,,117.71,3.5,,30.81
2009,329787628928.472,-3.07692307692308,11596.6021921731,-1137000000.0,34317956993.5458,0.0,99.0,27.080941446613,0.33183204443624864,95.5100021362305,132000000.0,72.785,14.4,22.2604191,35.0905296,44.2366868,27.4454645,32.0797903,41.1769997,33.71498166666667,2520.0,650.820134999999,119.58,1.414973347970818,7.9,0.2,,0.76,307,-0.0215,62.0102,0.16,61.73876984126984,96.7509265060241,31.479007936507937,3.26412,,0.0078,,108.74,3.5,,31.44
