variable,min_histórico,max_histórico,rango,dirección
pib_nominal_usd,42837965906.8675,393192354510.653,350354388603.7855,positiva
pib_crecimiento_real_pct,-29.8246,18.2073,48.0318,positiva
pib_per_capita_usd,1506.0417,13646.3047,12140.263,positiva
ied_neta_usd,-1137000000.0,5855000000.0,6992000000.0,positiva
reservas_internacionales_usd,9794062064.6211,43065463087.2778,33271401022.6567,positiva
exportaciones_pct_pib,0.0,47.1957,47.1957,positiva
acceso_electricidad_pct,95.7,100.0,4.3,positiva
inflacion_ipc_pct,21.069,254.9485,233.8795,positiva
tipo_cambio_oficial_lcu_usd,-0.1675,0.9989,1.1664,negativa
tasa_alfabetizacion_adulta_pct,92.98,97.1837,4.2037,positiva
remesas_recibidas_usd,17000000.0,279000000.0,262000000.0,positiva
esperanza_vida_anos,71.019,73.348,2.329,positiva
mortalidad_infantil_x1000,14.4,21.2,6.8,negativa
GOV_WGI_CC.SC,15.4069,34.5158,19.1089,positiva
GOV_WGI_GE.SC,20.2793,35.0905,14.8112,positiva
GOV_WGI_PV.SC,36.1652,53.1792,17.014,positiva
GOV_WGI_RL.SC,16.4841,41.833,25.349,positiva
GOV_WGI_RQ.SC,20.5965,44.5887,23.9922,positiva
GOV_WGI_VA.SC,25.0394,51.5816,26.5422,positiva
wgi_promedio_sc,23.4476,42.8947,19.4471,positiva
petroleo_crudo_produccion_tbpd,527.0628,2893.6202,2366.5574,positiva
gas_natural_produccion_bcf,650.8201,1119.8386,469.0185,positiva
electricidad_generacion_bkwh,71.9574,135.1317,63.1743,positiva
inflacion_ipc_imf_pct,1.0969,4.8154,3.7185,negativa
desempleo_pct,7.4,35.6,28.2,negativa
cuenta_corriente_pct_pib,-12.8,17.7,30.5,positiva
cpi_score,10.0,20.0,10.0,positiva
hdi,0.696,0.773,0.077,positiva
guardian_articulos_venezuela,101.0,998.0,897.0,negativa
guardian_tono_titulares,-0.3748,0.0371,0.4119,positiva
wti_precio_usd,25.9831,99.6715,73.6884,positiva
tasa_fed_funds_pct,0.08,6.2358,6.1558,negativa
brent_precio_usd,24.4557,111.5707,87.115,positiva
usd_index_broad,88.7767,122.893,34.1163,negativa
vix_volatility,11.0902,32.6949,21.6046,negativa
ust_10y_yield_pct,0.8892,6.0303,5.1411,negativa
freedom_house_score,13.0,39.0,26.0,positiva
migrantes_vzla_millones,0.0006,1.7302,1.7296,negativa
lsci_conectividad_maritima,26.87,118.41,91.54,positiva
pts_terror_politico,2.5,5.0,2.5,negativa
wjp_rule_of_law,0.2597,0.3586,0.0989,positiva
empleo_vulnerable_oit_pct,29.84,37.3,7.46,negativa
