año,indicador,valor,pais,fuente
2012,freedom_house_score,39.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2013,freedom_house_score,38.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2014,freedom_house_score,35.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2015,freedom_house_score,35.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2016,freedom_house_score,30.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2017,freedom_house_score,26.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2018,freedom_house_score,19.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2019,freedom_house_score,16.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2020,freedom_house_score,14.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2021,freedom_house_score,14.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2022,freedom_house_score,15.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2023,freedom_house_score,15.0,Venezuela,Freedom House — All Data FIW (Excel oficial): https://freedomhouse.org/sites/default/files/2024-02/All_data_FIW_2013-2024.xlsx
2024,freedom_house_score,13.0,Venezuela,Freedom House — Freedom in the World 2025 (https://freedomhouse.org/country/venezuela/freedom-world/2025)
2025,freedom_house_score,13.0,Venezuela,Freedom House — Freedom in the World 2026 (https://freedomhouse.org/country/venezuela/freedom-world/2026)
