año,indicador,valor,pais,fuente
2000,empleo_vulnerable_oit_pct,35.67,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2001,empleo_vulnerable_oit_pct,33.14,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2002,empleo_vulnerable_oit_pct,33.19,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2003,empleo_vulnerable_oit_pct,34.13,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2004,empleo_vulnerable_oit_pct,31.88,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2005,empleo_vulnerable_oit_pct,31.6,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2006,empleo_vulnerable_oit_pct,30.85,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2007,empleo_vulnerable_oit_pct,29.84,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2008,empleo_vulnerable_oit_pct,30.81,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2009,empleo_vulnerable_oit_pct,31.44,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2010,empleo_vulnerable_oit_pct,33.24,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2011,empleo_vulnerable_oit_pct,33.01,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2012,empleo_vulnerable_oit_pct,31.91,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2013,empleo_vulnerable_oit_pct,31.63,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2014,empleo_vulnerable_oit_pct,31.55,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2015,empleo_vulnerable_oit_pct,31.56,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2016,empleo_vulnerable_oit_pct,31.65,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
2017,empleo_vulnerable_oit_pct,32.71,Venezuela,"OIT, estimacion modelada; distribuida por World Bank WDI SL.EMP.VULN.ZS. Empleo vulnerable (% del empleo total): trabajadores por cuenta propia y familiares auxiliares. No equivale a informalidad. https://data.worldbank.org/indicator/SL.EMP.VULN.ZS"
