año,indicador,valor,pais,fuente
2000,luminosidad_nocturna_idx,11.634,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626085 Harmonized NTL 2000 calDMSP
2001,luminosidad_nocturna_idx,12.7433,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2002,luminosidad_nocturna_idx,13.6748,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2003,luminosidad_nocturna_idx,13.8906,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2004,luminosidad_nocturna_idx,12.713,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2005,luminosidad_nocturna_idx,11.6302,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626100 Harmonized NTL 2005 calDMSP
2006,luminosidad_nocturna_idx,12.4738,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626103 Harmonized NTL 2006 calDMSP
2007,luminosidad_nocturna_idx,12.3236,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2008,luminosidad_nocturna_idx,12.857,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2009,luminosidad_nocturna_idx,14.7043,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626019 Harmonized NTL 2009 calDMSP
2010,luminosidad_nocturna_idx,11.7575,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626022 Harmonized NTL 2010 calDMSP
2011,luminosidad_nocturna_idx,12.4966,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626025 Harmonized NTL 2011 calDMSP
2012,luminosidad_nocturna_idx,14.8636,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626031 Harmonized NTL 2012 calDMSP
2013,luminosidad_nocturna_idx,15.2122,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:17626034 Harmonized NTL 2013 calDMSP
2014,luminosidad_nocturna_idx,22.247,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065276 Harmonized NTL 2014 simVIIRS
2015,luminosidad_nocturna_idx,21.6393,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065321 Harmonized NTL 2015 simVIIRS
2016,luminosidad_nocturna_idx,21.9392,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065291 Harmonized NTL 2016 simVIIRS
2017,luminosidad_nocturna_idx,18.9578,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065282 Harmonized NTL 2017 simVIIRS
2018,luminosidad_nocturna_idx,18.0646,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065288 Harmonized NTL 2018 simVIIRS
2019,luminosidad_nocturna_idx,19.7205,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065285 Harmonized NTL 2019 simVIIRS
2020,luminosidad_nocturna_idx,16.9879,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065297 Harmonized NTL 2020 simVIIRS
2021,luminosidad_nocturna_idx,17.6514,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065294 Harmonized NTL 2021 simVIIRS
2022,luminosidad_nocturna_idx,17.0088,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065303 Harmonized NTL 2022 simVIIRS
2023,luminosidad_nocturna_idx,15.425,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065300 Harmonized NTL 2023 simVIIRS
2024,luminosidad_nocturna_idx,15.0957,Venezuela,Li et al. (2020/2024) Figshare:9828827 file:57065306 Harmonized NTL 2024 simVIIRS
