archivo,variable,año,valor_local,valor_oficial,tolerancia_absoluta,coincide,evidencia
cpi.csv,cpi_score,2025,10.0,10.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2024,10.0,10.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2023,13.0,13.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2022,14.0,14.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2021,14.0,14.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2020,15.0,15.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2019,16.0,16.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2018,18.0,18.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2017,18.0,18.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2016,17.0,17.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2015,17.0,17.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2014,19.0,19.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2013,20.0,20.0,1e-09,True,cpi2025.xlsx
cpi.csv,cpi_score,2012,19.0,19.0,1e-09,True,cpi2025.xlsx
imf.csv,inflacion_ipc_imf_pct,2000,16.2,16.206,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2001,12.5,12.531,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2002,22.4,22.434,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2003,31.1,31.091,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2004,21.7,21.747,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2005,16.0,15.955,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2006,13.7,13.663,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2007,18.7,18.699,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2008,31.4,31.441,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2009,26.0,26.041,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2010,28.2,28.187,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2011,26.1,26.09,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2012,21.1,21.069,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2013,40.6,40.639,0.0500001,True,weo_apr2026.xlsx
imf.csv,inflacion_ipc_imf_pct,2014,62.2,62.169,0.0500001,True,weo_apr2026.xlsx
